,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_logerr/roll,/cf_logerr/pitch,/cf_logerr/yaw,/cf_logerr/position.x,/cf_logerr/position.y,/cf_logerr/position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z,/cf_command/x,/cf_command/y,/cf_command/z
70,1747749232277714218,vicon/world,270477761.0,1747749232.0,-0.6190474094245947,-1.4866899558417384,1.4351961126499384,0.02533607625050159,1.369795069506129,0.040406968904099,,,,,,,,,,,,,,,,,,,,,
71,1747749232287658293,vicon/world,280418754.0,1747749232.0,-0.6199203840767763,-1.3993515448986005,1.3443147858591438,0.025413834333245837,1.3698458527264146,0.04034782543324627,,,,,,,,,,,,,,,,,,,,,
72,1747749232297644304,vicon/world,290422154.0,1747749232.0,-0.8466779862250544,-1.2623077018608873,1.4522774033294354,0.025316609120871216,1.3698162439783148,0.040495686019119015,,,,,,,,,,,,,,,,,,,,,
73,1747749232307838013,vicon/world,300415791.0,1747749232.0,-0.6754258175612617,-1.4157437008685054,1.4346319223896804,0.025296687211909235,1.3697746000142657,0.04040688184729559,,,,,,,,,,,,,,,,,,,,,
74,1747749232315918268,,,,,,,,,,,,,,,,-0.7727599143981931,1.253610849380497,1.4280636310577395,0.004102480597794056,1.380825400352478,0.01928536407649517,,,,,,,,,
75,1747749232317723391,vicon/world,310184418.0,1747749232.0,-0.8864700500741185,-1.4164579888899818,1.595295620396786,0.025357882836399427,1.3699300767131783,0.04053655945747249,,,,,,,,,,,,,,,,,,,,,
76,1747749232327792816,vicon/world,320192392.0,1747749232.0,-0.6981233573463483,-1.470244136802408,1.4869069161307868,0.025445099605692464,1.3698943166468653,0.04038339719491103,,,,,,,,,,,,,,,,,,,,,
77,1747749232337547938,vicon/world,330498698.0,1747749232.0,-0.8884311588091144,-1.4152869765955103,1.5294865843507157,0.025507420361227186,1.3700272428975884,0.04050427079335143,,,,,,,,,,,,,,,,,,,,,
78,1747749232342783223,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
79,1747749232347491724,vicon/world,340248771.0,1747749232.0,-0.8763500469125023,-1.1890003276108516,1.4324014951435762,0.02543519961186003,1.369898428484722,0.04048691230596507,,,,,,,,,,,,,,,,,,,,,
80,1747749232350753753,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
81,1747749232357988646,vicon/world,350518268.0,1747749232.0,-0.8814197441416,-1.263005758386913,1.38664916420045,0.025446120917383203,1.3699300873754863,0.04046760846004058,,,,,,,,,,,,,,,,,,,,,
82,1747749232367544557,,,,,,,,,,,,,,,,-0.7411359548568727,1.2513718605041577,1.413027048110962,0.002118726959452033,1.3817805051803589,0.019574599340558052,,,,,,,,,
83,1747749232367732066,vicon/world,360290160.0,1747749232.0,-0.892320484801321,-1.3720531201511572,1.5199689214212835,0.02547212728242709,1.3699942486006562,0.04046079140973065,,,,,,,,,,,,,,,,,,,,,
84,1747749232377513747,vicon/world,370283333.0,1747749232.0,-0.6603659792535741,-1.4697951678306074,1.455326876800947,0.025309219483677925,1.3697759842115642,0.040407978546099656,,,,,,,,,,,,,,,,,,,,,
85,1747749232384023110,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
86,1747749232387915037,vicon/world,380278756.0,1747749232.0,-0.85407754395819,-1.2979048341809614,1.4903385565012497,0.02535421998584079,1.3698855032669268,0.04053698447712408,,,,,,,,,,,,,,,,,,,,,
87,1747749232391996521,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
88,1747749232397673126,vicon/world,390238994.0,1747749232.0,-0.8793526557228999,-1.2549745177323421,1.5174409166920946,0.025346571343735136,1.3698640351594038,0.04050463128684131,,,,,,,,,,,,,,,,,,,,,
89,1747749232407808402,vicon/world,400227765.0,1747749232.0,-0.8632331840889539,-1.33363602877647,1.5316301338361056,0.025392547016085894,1.3698845361206267,0.04051607373610259,,,,,,,,,,,,,,,,,,,,,
90,1747749232417904559,vicon/world,410474827.0,1747749232.0,-0.8717670415622133,-1.2620217992401732,1.3982306390211885,0.025446804424075306,1.3699274789824674,0.04046053919678399,,,,,,,,,,,,,,,,,,,,,
